shopTitle,price,title,item_id,realSales,procity,Trade-in,Free Shipping Insurance,Free Shipping,Global Purchase,Charity Goods,CPU Model,Camera Pixel,Charging Power,Screen Size,Camera Number,Highest Pixel
旭山3C综合数码,3488.0,MIUI/<span class=H>小米</span> Xiaomi 13 Ultra新款上市官方正品全网通5G影像旗舰 13,724655525458,43,广东 深圳,0,1,0,0,0,骁龙8 Gen2,5000+5000+5000+5000,90,,4,5000
苏宁易购官方旗舰店,8129.0,MIUI/<span class=H>小米</span> Xiaomi MIX Fold 3新品<span class=H>手机</span><span class=H>小米</span>mixfold3官方旗舰店官网正品<span class=H>小米</span>mix系列折叠屏【2004】,734089817614,7,北京,1,0,1,0,0,第二代骁龙8领先版,5000+1200+1000+1000,67,,4,5000
喵速达电器官方旗舰店,999.0,【阿里官方自营】<span class=H>小米</span>红米Note 12 5G 新品OLED屏幕智能红米<span class=H>手机</span>官网官方旗舰店<span class=H>手机</span>,689983937049,1,浙江 杭州,1,1,0,0,0,骁龙4 Gen 1,4800+200,33,,2,4800
阿布的数码屋,1243.0,新品MIUI/<span class=H>小米</span> Redmi Note 13 Pro全新正品2亿像素护眼直屏5g<span class=H>手机</span>,739306284532,22,广东 深圳,1,1,1,0,1,第二代骁龙7s移动平台,20000+800+200,67,,3,20000
优优可达数码,1499.0,新品MIUI/<span class=H>小米</span> Redmi Note 13 Pro<span class=H>手机</span>官方<span class=H>小米</span>红米note13pro+,776254078331,100,广东 深圳,1,1,1,0,0,第二代骁龙7s移动平台,20000+800+200,67,,3,20000
东信通讯数码城,360.0,MIUI/<span class=H>小米</span> Xiaomi 8 青春版骁龙660处理器正品全面屏高性价比商务,679451550795,100,广东 深圳,0,1,1,0,0,骁龙660,1200+500,5,,2,1200
淘天下时代数码,318.0,MIUI/<span class=H>小米</span> REDMI 9A大屏幕大电池学生老人红米9A便宜智能4G<span class=H>手机</span>,719811259092,5,广东 深圳,0,1,1,0,1,Helio G25,1300,10,,1,1300
创宇嘉汇数码专营店,599.0,分期免息/当天发 <span class=H>小米</span>红米Note12R 5G<span class=H>手机</span>8+256G 5000mAh大电池6.6英寸5000万<span class=H>小米</span>官方旗舰官网店 正品 pro,736543254814,29,广东 深圳,1,1,1,0,0,第二代骁龙® 4移动平台,5000+200,18,,2,5000
苏宁易购官方旗舰店,1299.0,Note13 5G,763876415941,47,江苏 南京,1,0,1,0,0,天玑6080,10000+200,33,,2,10000
苏宁易购官方旗舰店,2149.0,【现货速发】红米 Redmi K60 <span class=H>手机</span>红米 k60<span class=H>手机</span><span class=H>小米</span>官方旗舰店官网redmik60<span class=H>小米</span>k60红米k50 2067,703714989537,14,广东 深圳,1,0,1,0,0,骁龙8+,6400+800+200,67,,3,6400
bihee旗舰店,1779.0,24期分期/送小米原装礼Redmi K70E红米手机小米k70官方旗舰店官网,750589732509,16,上海,0,1,1,0,0,天玑8300-Ultra,6400+800+200,90,,3,6400
叮当数码手机,2999.0,MIUI/小米 Xiaomi Civi 4 Pro 第三代骁龙8s 全等深微曲屏5g手机,775904919930,5,广东 深圳,1,0,0,0,0,第三代骁龙®8s移动平台,5000+1200+5000,67,,3,5000
